Id,Label
1,0
2,0
3,-1
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,-1
20,-1
21,-1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,1
33,1
34,0
35,0
36,1
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,1
46,-1
47,1
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,1
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,1
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,0
89,0
90,-1
91,0
92,0
93,0
94,1
95,1
96,1
97,0
98,0
99,0
100,-1
101,-1
102,0
103,1
104,1
105,1
106,0
107,-1
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,-1
122,-1
123,-1
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,1
137,0
138,0
139,-1
140,-1
141,0
142,1
143,0
144,0
145,-1
146,-1
147,-1
148,-1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,1
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,0
178,0
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,-1
205,0
206,0
207,0
208,-1
209,-1
210,-1
211,0
212,1
213,0
214,-1
215,-1
216,0
217,-1
218,-1
219,-1
220,1
221,0
222,0
223,0
224,1
225,0
226,1
227,1
228,1
229,-1
230,0
231,0
232,1
233,1
234,1
235,0
236,0
237,0
238,0
239,1
240,1
241,0
242,-1
243,-1
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,1
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,1
260,1
261,1
262,0
263,0
264,0
265,1
266,1
267,1
268,0
269,0
270,0
271,1
272,1
